compound     ,driver_number ,lap_end ,lap_start ,meeting_key ,session_key ,stint_number ,tyre_age_at_start
             ,              ,      0 ,        1 ,       1237 ,       9531 ,           1 ,                 
WET          ,           20 ,      7 ,        1 ,       1237 ,       9531 ,           1 ,                0
WET          ,           27 ,     12 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,            2 ,     24 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           24 ,     24 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,            1 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           10 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           11 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           14 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           16 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           18 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           23 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           44 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           55 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           63 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           81 ,     25 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,            3 ,     26 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,            4 ,     26 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           77 ,     42 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           22 ,     44 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           31 ,     44 ,        1 ,       1237 ,       9531 ,           1 ,                0
INTERMEDIATE ,           20 ,     25 ,        8 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           27 ,     25 ,       13 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           24 ,     44 ,       25 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           16 ,     28 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           10 ,     40 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           20 ,     41 ,       26 ,       1237 ,       9531 ,           3 ,                0
INTERMEDIATE ,           11 ,     43 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           44 ,     43 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           55 ,     43 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           14 ,     44 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           18 ,     44 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           23 ,     44 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           27 ,     44 ,       26 ,       1237 ,       9531 ,           3 ,                0
INTERMEDIATE ,           81 ,     44 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,            1 ,     45 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,           63 ,     45 ,       26 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,            3 ,     43 ,       27 ,       1237 ,       9531 ,           2 ,                0
INTERMEDIATE ,            4 ,     47 ,       27 ,       1237 ,       9531 ,           2 ,                0
HARD         ,           16 ,     31 ,       29 ,       1237 ,       9531 ,           3 ,                0
INTERMEDIATE ,           16 ,     41 ,       32 ,       1237 ,       9531 ,           4 ,                0
HARD         ,           10 ,     71 ,       41 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,           20 ,     54 ,       42 ,       1237 ,       9531 ,           4 ,                0
MEDIUM       ,           77 ,     71 ,       43 ,       1237 ,       9531 ,           2 ,                0
MEDIUM       ,           11 ,     52 ,       44 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,           55 ,     53 ,       44 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,           44 ,     54 ,       44 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,            3 ,     71 ,       44 ,       1237 ,       9531 ,           3 ,                1
MEDIUM       ,           24 ,     52 ,       45 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,           23 ,     53 ,       45 ,       1237 ,       9531 ,           3 ,                0
HARD         ,           14 ,     71 ,       45 ,       1237 ,       9531 ,           3 ,                0
HARD         ,           18 ,     71 ,       45 ,       1237 ,       9531 ,           3 ,                1
MEDIUM       ,           22 ,     71 ,       45 ,       1237 ,       9531 ,           2 ,                0
MEDIUM       ,           27 ,     71 ,       45 ,       1237 ,       9531 ,           4 ,                0
MEDIUM       ,           31 ,     71 ,       45 ,       1237 ,       9531 ,           2 ,                0
MEDIUM       ,           81 ,     71 ,       45 ,       1237 ,       9531 ,           3 ,                0
HARD         ,           63 ,     54 ,       46 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,            1 ,     71 ,       46 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,            4 ,     71 ,       48 ,       1237 ,       9531 ,           3 ,                0
MEDIUM       ,           24 ,     70 ,       53 ,       1237 ,       9531 ,           4 ,                0
MEDIUM       ,           20 ,     71 ,       55 ,       1237 ,       9531 ,           5 ,                0
HARD         ,           44 ,     71 ,       55 ,       1237 ,       9531 ,           4 ,                0
MEDIUM       ,           63 ,     71 ,       55 ,       1237 ,       9531 ,           4 ,                0
